census_tract_id,neighborhood_label,centroid_lat,centroid_lon,distance_to_nearest_fire_km,fire_distance_group
06037206303,Los Angeles County tract 206303,34.0401465,-118.2415808,11.77,medium
06037206301,Los Angeles County tract 206301,34.0436632,-118.2476235,11.19,medium
06037206302,Los Angeles County tract 206302,34.0426955,-118.2456376,11.36,medium
06037206202,Los Angeles County tract 206202,34.0467318,-118.2403201,11.16,medium
06037208904,Los Angeles County tract 208904,34.0595681,-118.2700929,8.85,near
06037224702,Los Angeles County tract 224702,34.0248596,-118.2796034,12.5,far
06037207304,Los Angeles County tract 207304,34.0463014,-118.2514975,10.78,medium
06037980014,Los Angeles County tract 980014,33.7825453,-118.2383617,39.7,far
06037207307,Los Angeles County tract 207307,34.046001,-118.2492681,10.89,medium
06037207502,Los Angeles County tract 207502,34.052707,-118.253084,10.07,medium
06037209401,Los Angeles County tract 209401,34.0567212,-118.2815247,8.96,near
06037208902,Los Angeles County tract 208902,34.0564462,-118.2723721,9.14,near
06037222700,Los Angeles County tract 222700,34.0209296,-118.2856599,12.89,far
06037265304,Los Angeles County tract 265304,34.0677546,-118.451161,16.35,far
06037209402,Los Angeles County tract 209402,34.0546619,-118.2772209,9.24,near
06037575803,Los Angeles County tract 575803,33.7789661,-118.1937148,40.83,far
06037209103,Los Angeles County tract 209103,34.05711,-118.2640302,9.27,near
06037209105,Los Angeles County tract 209105,34.0576485,-118.2677496,9.11,near
06037209403,Los Angeles County tract 209403,34.0531328,-118.2738446,9.47,near
06037242600,Los Angeles County tract 242600,33.9323759,-118.2502423,23.07,far
