metric_scope,group,n_runs,evacuation_rate,delay_rate,private_vehicle_rate,shelter_dependency_rate,violation_rate,hard_violation_rate,soft_issue_rate,spatial_inconsistency_rate,mode_feasibility_rate,destination_feasibility_rate,mean_feasibility_score,mean_spatial_consistency_score
condition,baseline,200,1.0,0.0,0.55,0.035,0.425,0.0,0.04,0.425,0.96,1.0,0.952,0.894
condition,spatial_grounded,200,0.99,0.01,0.55,0.995,0.445,0.0,0.01,0.445,0.99,1.0,0.954,0.887
equity_group,baseline:income_low,166,1.0,0.0,0.536,0.042,0.434,0.0,0.048,0.434,0.952,1.0,0.949,0.892
equity_group,baseline:income_middle_high,34,1.0,0.0,0.618,0.0,0.382,0.0,0.0,0.382,1.0,1.0,0.962,0.904
equity_group,baseline:vehicle_yes,110,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
equity_group,baseline:vehicle_no,90,1.0,0.0,0.0,0.078,0.944,0.0,0.089,0.944,0.911,1.0,0.892,0.764
equity_group,baseline:children_yes,25,1.0,0.0,0.6,0.04,0.4,0.0,0.0,0.4,1.0,1.0,0.96,0.9
equity_group,baseline:children_no,175,1.0,0.0,0.543,0.034,0.429,0.0,0.046,0.429,0.954,1.0,0.95,0.893
equity_group,baseline:medical_yes,17,1.0,0.0,0.529,0.118,0.471,0.0,0.0,0.471,1.0,1.0,0.953,0.882
equity_group,baseline:medical_no,183,1.0,0.0,0.552,0.027,0.421,0.0,0.044,0.421,0.956,1.0,0.951,0.895
equity_group,baseline:risk_high,120,1.0,0.0,0.475,0.05,0.483,0.0,0.017,0.483,0.983,1.0,0.949,0.879
equity_group,baseline:risk_lower,80,1.0,0.0,0.662,0.013,0.338,0.0,0.075,0.338,0.925,1.0,0.955,0.916
equity_group,spatial_grounded:income_low,166,0.988,0.012,0.536,0.994,0.458,0.0,0.012,0.458,0.988,1.0,0.952,0.886
equity_group,spatial_grounded:income_middle_high,34,1.0,0.0,0.618,1.0,0.382,0.0,0.0,0.382,1.0,1.0,0.959,0.897
equity_group,spatial_grounded:vehicle_yes,110,1.0,0.0,1.0,0.991,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
equity_group,spatial_grounded:vehicle_no,90,0.978,0.022,0.0,1.0,0.989,0.0,0.022,0.989,0.978,1.0,0.897,0.75
equity_group,spatial_grounded:children_yes,25,1.0,0.0,0.6,1.0,0.4,0.0,0.0,0.4,1.0,1.0,0.96,0.9
equity_group,spatial_grounded:children_no,175,0.989,0.011,0.543,0.994,0.451,0.0,0.011,0.451,0.989,1.0,0.953,0.886
equity_group,spatial_grounded:medical_yes,17,1.0,0.0,0.529,0.941,0.471,0.0,0.0,0.471,1.0,1.0,0.953,0.882
equity_group,spatial_grounded:medical_no,183,0.989,0.011,0.552,1.0,0.443,0.0,0.011,0.443,0.989,1.0,0.954,0.888
equity_group,spatial_grounded:risk_high,120,1.0,0.0,0.475,0.992,0.525,0.0,0.0,0.525,1.0,1.0,0.947,0.867
equity_group,spatial_grounded:risk_lower,80,0.975,0.025,0.662,1.0,0.325,0.0,0.025,0.325,0.975,1.0,0.964,0.919
