model,condition,n,metric,value_percent
gpt-4.1-mini_main_subset,baseline,50,mode_feasibility_rate,100.0
gpt-4.1-mini_main_subset,baseline,50,soft_feasibility_issue_rate,0.0
gpt-4.1-mini_main_subset,baseline,50,spatial_inconsistency_rate,58.0
gpt-4.1-mini_main_subset,baseline,50,no_vehicle_violation_or_spatial_inconsistency_rate,85.3
gpt-4.1-mini_main_subset,baseline,50,limited_transit_public_transit_rate,0.0
gpt-4.1-mini_main_subset,baseline,50,lower_income_public_shelter_rate,7.3
gpt-4.1-mini_main_subset,baseline,50,lower_income_hotel_motel_rate,0.0
gpt-4.1-mini_main_subset,spatial_grounded,50,mode_feasibility_rate,100.0
gpt-4.1-mini_main_subset,spatial_grounded,50,soft_feasibility_issue_rate,0.0
gpt-4.1-mini_main_subset,spatial_grounded,50,spatial_inconsistency_rate,68.0
gpt-4.1-mini_main_subset,spatial_grounded,50,no_vehicle_violation_or_spatial_inconsistency_rate,100.0
gpt-4.1-mini_main_subset,spatial_grounded,50,limited_transit_public_transit_rate,0.0
gpt-4.1-mini_main_subset,spatial_grounded,50,lower_income_public_shelter_rate,97.6
gpt-4.1-mini_main_subset,spatial_grounded,50,lower_income_hotel_motel_rate,0.0
gpt-4o-mini_validation_50,baseline,50,mode_feasibility_rate,100.0
gpt-4o-mini_validation_50,baseline,50,soft_feasibility_issue_rate,0.0
gpt-4o-mini_validation_50,baseline,50,spatial_inconsistency_rate,4.0
gpt-4o-mini_validation_50,baseline,50,no_vehicle_violation_or_spatial_inconsistency_rate,2.9
gpt-4o-mini_validation_50,baseline,50,limited_transit_public_transit_rate,0.0
gpt-4o-mini_validation_50,baseline,50,lower_income_public_shelter_rate,68.3
gpt-4o-mini_validation_50,baseline,50,lower_income_hotel_motel_rate,0.0
gpt-4o-mini_validation_50,spatial_grounded,50,mode_feasibility_rate,100.0
gpt-4o-mini_validation_50,spatial_grounded,50,soft_feasibility_issue_rate,0.0
gpt-4o-mini_validation_50,spatial_grounded,50,spatial_inconsistency_rate,20.0
gpt-4o-mini_validation_50,spatial_grounded,50,no_vehicle_violation_or_spatial_inconsistency_rate,26.5
gpt-4o-mini_validation_50,spatial_grounded,50,limited_transit_public_transit_rate,0.0
gpt-4o-mini_validation_50,spatial_grounded,50,lower_income_public_shelter_rate,100.0
gpt-4o-mini_validation_50,spatial_grounded,50,lower_income_hotel_motel_rate,0.0
