condition,transit_access,transportation_mode,n,share_percent
baseline,Good,Private vehicle,61,46.9
baseline,Good,Public transit,68,52.3
baseline,Good,Ride with family/friend,1,0.8
baseline,Good,__public_transit_total__,68,52.3
baseline,Moderate,Private vehicle,17,56.7
baseline,Moderate,Public transit,13,43.3
baseline,Moderate,__public_transit_total__,13,43.3
baseline,Limited,Private vehicle,22,73.3
baseline,Limited,Public transit,8,26.7
baseline,Limited,__public_transit_total__,8,26.7
baseline,None,Private vehicle,10,100.0
baseline,None,__public_transit_total__,0,0.0
spatial_grounded,Good,Private vehicle,61,46.9
spatial_grounded,Good,Public transit,69,53.1
spatial_grounded,Good,__public_transit_total__,69,53.1
spatial_grounded,Moderate,Private vehicle,17,56.7
spatial_grounded,Moderate,Public transit,13,43.3
spatial_grounded,Moderate,__public_transit_total__,13,43.3
spatial_grounded,Limited,Private vehicle,22,73.3
spatial_grounded,Limited,Public transit,2,6.7
spatial_grounded,Limited,Ride with family/friend,4,13.3
spatial_grounded,Limited,Walk,2,6.7
spatial_grounded,Limited,__public_transit_total__,2,6.7
spatial_grounded,None,Private vehicle,10,100.0
spatial_grounded,None,__public_transit_total__,0,0.0
