"cutoff_km","condition","threshold_group","n","violation_spatial_inconsistency_rate","public_transit_recommendation_rate","mode_proxy_issue_rate","cutoff_label"
1,"Baseline","Within 1 km",72,93.1,100,0,"1 km cutoff"
1,"Spatially grounded","Within 1 km",72,98.6,93.1,2.8,"1 km cutoff"
1,"Baseline","Beyond 1 km",18,100,94.4,94.4,"1 km cutoff"
1,"Spatially grounded","Beyond 1 km",18,100,94.4,94.4,"1 km cutoff"
1.5,"Baseline","Within 1.5 km",81,93.8,100,0,"1.5 km cutoff"
1.5,"Spatially grounded","Within 1.5 km",81,98.8,93.8,2.5,"1.5 km cutoff"
1.5,"Baseline","Beyond 1.5 km",9,100,88.9,88.9,"1.5 km cutoff"
1.5,"Spatially grounded","Beyond 1.5 km",9,100,88.9,88.9,"1.5 km cutoff"
2,"Baseline","Within 2 km",81,93.8,100,0,"2 km cutoff"
2,"Spatially grounded","Within 2 km",81,98.8,93.8,2.5,"2 km cutoff"
2,"Baseline","Beyond 2 km",9,100,88.9,88.9,"2 km cutoff"
2,"Spatially grounded","Beyond 2 km",9,100,88.9,88.9,"2 km cutoff"
